active_ingredient,name,default_code,manufacturer_id,type,merchant_id,categ_id,categ_ids,related_product_category_id,product_public_category_id,disease_id,uom_id,uom_po_id,is_agrochemical,allow_quote_request,show_list_price,sale_ok,website_published,status
agri.active_ingredient_fipronil,Villa Reward 200 SC,L8268,Universal Crop Protection (Pty) Ltd,product,Villa Crop Protection (Pty) Ltd,agri.product_category_crop_input_insecticide,"","agri.product_category_permanent_crop_mandarins,agri.product_category_permanent_crop_kumquats,agri.product_category_permanent_crop_lemons,agri.product_category_permanent_crop_navels,agri.product_category_crop_clementines,agri.product_category_crop_clementines,agri.product_category_permanent_crop_grapefruit,agri.product_category_permanent_crop_grapefruit,agri.product_category_permanent_crop_mandarins,agri.product_category_permanent_crop_mangoes,agri.product_category_permanent_crop_mangoes,agri.product_category_permanent_crop_mangoes,agri.product_category_permanent_crop_mandarins,agri.product_category_permanent_crop_navels,agri.product_category_permanent_crop_navels,agri.product_category_permanent_crop_oranges,agri.product_category_permanent_crop_oranges,agri.product_category_permanent_crop_oranges,agri.product_category_permanent_crop_pummelos,agri.product_category_permanent_crop_pummelos,agri.product_category_permanent_crop_pummelos,agri.product_category_permanent_crop_kumquats,agri.product_category_permanent_crop_kumquats,agri.product_category_permanent_crop_grapefruit,agri.product_category_permanent_crop_lemons,agri.product_category_permanent_crop_lemons,agri.product_category_permanent_crop_limes,agri.product_category_permanent_crop_limes,agri.product_category_permanent_crop_limes,agri.product_category_crop_clementines,agri.product_category_permanent_crop_mandarins,agri.product_category_permanent_crop_mangoes,agri.product_category_permanent_crop_grapefruit,agri.product_category_crop_clementines,agri.product_category_permanent_crop_satsumas,agri.product_category_permanent_crop_pummelos,agri.product_category_permanent_crop_oranges,agri.product_category_permanent_crop_tangelos,agri.product_category_permanent_crop_navels,agri.product_category_permanent_crop_tangerines,agri.product_category_permanent_crop_kumquats,agri.product_category_permanent_crop_limes,agri.product_category_permanent_crop_lemons",thevirtualcoop.product_public_category_crop_input_insecticide,"agri.pest_disease_thrips,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_aphids_citrus_aphid_plutella_xylostella,agri.pest_disease_thrips,agri.pest_disease_toxoptera_citricida_toxoptera_citricida,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_fipronil,Villa Rossi 200 SC,L8272,Villa Crop Protection (Pty) Ltd,product,Villa Crop Protection (Pty) Ltd,agri.product_category_crop_input_insecticide,"","agri.product_category_permanent_crop_grapefruit,agri.product_category_permanent_crop_kumquats,agri.product_category_permanent_crop_navels,agri.product_category_permanent_crop_lemons,agri.product_category_permanent_crop_limes,agri.product_category_permanent_crop_mandarins,agri.product_category_permanent_crop_mangoes,agri.product_category_crop_clementines,agri.product_category_permanent_crop_oranges,agri.product_category_permanent_crop_tangerines,agri.product_category_permanent_crop_tangelos,agri.product_category_permanent_crop_satsumas,agri.product_category_permanent_crop_pummelos",thevirtualcoop.product_public_category_crop_input_insecticide,"agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips,agri.pest_disease_thrips",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_fipronil__lambda_cyhalothrin,Villa Antset 200 SC,L10378,Universal Crop Protection (Pty) Ltd,product,Villa Crop Protection (Pty) Ltd,agri.product_category_crop_input_insecticide,"","agri.product_category_permanent_crop_orchards,agri.product_category_permanent_crop_orchards",thevirtualcoop.product_public_category_crop_input_insecticide,"agri.pest_disease_xiphinema_spp_xiphinema_spp,agri.pest_disease_ants_argentine_ants_anoplolepis_custodiens",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_florasulam__flumetsulam,Meridian Flick-Flack,L10154,Meridian Agrochemical Company (Pty) Ltd,product,Meridian Agrochemical Company (Pty) Ltd,agri.product_category_crop_input_herbicide,"","agri.product_category_crop_oats,agri.product_category_crop_wheat",thevirtualcoop.product_public_category_crop_input_herbicide,"agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_broadleaf_weeds",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_fluazifop_p_butyl,Meridian Fluzie,L9460,Meridian Agrochemical Company (Pty) Ltd,product,Meridian Agrochemical Company (Pty) Ltd,agri.product_category_crop_input_herbicide,"","agri.product_category_crop_groundnuts,agri.product_category_grazing_lucerne,agri.product_category_grazing_lucerne,agri.product_category_grazing_lucerne,agri.product_category_grazing_lucerne,agri.product_category_crop_medicagos,agri.product_category_crop_medicagos,agri.product_category_crop_medicagos,agri.product_category_crop_peas,agri.product_category_crop_carrots,agri.product_category_crop_carrots,agri.product_category_permanent_crop_apricots,agri.product_category_crop_carrots,agri.product_category_crop_carrots,agri.product_category_crop_brussels_sprouts,agri.product_category_crop_brussels_sprouts,agri.product_category_crop_beans_green_beans,agri.product_category_crop_beans_green_beans,agri.product_category_crop_beans_green_beans,agri.product_category_crop_brussels_sprouts,agri.product_category_permanent_crop_apricots,agri.product_category_permanent_crop_apricots,agri.product_category_crop_beans_dry_beans,agri.product_category_crop_beans_dry_beans,agri.product_category_crop_beans_dry_beans,agri.product_category_crop_beans_dry_beans,agri.product_category_crop_medicagos,agri.product_category_permanent_crop_nectarines,agri.product_category_permanent_crop_nectarines,agri.product_category_permanent_crop_nectarines,agri.product_category_permanent_crop_nectarines,agri.product_category_crop_onions,agri.product_category_crop_onions,agri.product_category_crop_onions,agri.product_category_crop_onions,agri.product_category_permanent_crop_orchards,agri.product_category_permanent_crop_orchards,agri.product_category_permanent_crop_orchards,agri.product_category_permanent_crop_orchards,agri.product_category_crop_groundnuts,agri.product_category_permanent_crop_peaches,agri.product_category_permanent_crop_peaches,agri.product_category_permanent_crop_peaches,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_crop_peas,agri.product_category_crop_peas,agri.product_category_crop_peas,agri.product_category_permanent_crop_plums,agri.product_category_permanent_crop_plums,agri.product_category_crop_brussels_sprouts,agri.product_category_permanent_crop_plums,agri.product_category_permanent_crop_plums,agri.product_category_permanent_crop_prunes,agri.product_category_permanent_crop_prunes,agri.product_category_permanent_crop_prunes,agri.product_category_permanent_crop_prunes,agri.product_category_crop_quinces,agri.product_category_crop_quinces,agri.product_category_crop_quinces,agri.product_category_crop_quinces,agri.product_category_non_agri_road_sides,agri.product_category_non_agri_road_sides,agri.product_category_non_agri_road_sides,agri.product_category_non_agri_road_sides,agri.product_category_permanent_crop_sugarcane,agri.product_category_permanent_crop_sugarcane,agri.product_category_permanent_crop_sugarcane,agri.product_category_permanent_crop_sugarcane,agri.product_category_permanent_crop_table_grapes,agri.product_category_permanent_crop_table_grapes,agri.product_category_permanent_crop_table_grapes,agri.product_category_permanent_crop_table_grapes,agri.product_category_non_agri_verges,agri.product_category_non_agri_verges,agri.product_category_non_agri_verges,agri.product_category_non_agri_verges,agri.product_category_non_agri_waterways,agri.product_category_non_agri_waterways,agri.product_category_non_agri_waterways,agri.product_category_non_agri_waterways,agri.product_category_permanent_crop_wine_grapes,agri.product_category_permanent_crop_wine_grapes,agri.product_category_permanent_crop_wine_grapes,agri.product_category_permanent_crop_wine_grapes,agri.product_category_permanent_crop_peaches,agri.product_category_crop_groundnuts,agri.product_category_permanent_crop_apples,agri.product_category_crop_beans_green_beans,agri.product_category_afforestation,agri.product_category_afforestation,agri.product_category_afforestation,agri.product_category_afforestation,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_cherries,agri.product_category_permanent_crop_cherries,agri.product_category_permanent_crop_apricots,agri.product_category_permanent_crop_cherries,agri.product_category_permanent_crop_cherries,agri.product_category_grazing_clover,agri.product_category_grazing_clover,agri.product_category_grazing_clover,agri.product_category_grazing_clover,agri.product_category_crop_groundnuts",thevirtualcoop.product_public_category_crop_input_herbicide,"agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_cane_eradication,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_ripening,agri.pest_disease_growth_inhibition,agri.pest_disease_growth_inhibition,agri.pest_disease_cane_eradication,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_ripening,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_growth_inhibition,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_cane_eradication,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_cane_eradication,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication,agri.pest_disease_growth_inhibition,agri.pest_disease_ripening,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_cane_eradication",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_flufenoxuron,Villa Torrent 100 DC,L8515,Universal Crop Protection (Pty) Ltd,product,Villa Crop Protection (Pty) Ltd,agri.product_category_crop_input_acaricide,agri.product_category_crop_input_insecticide,"agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_apples,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears,agri.product_category_permanent_crop_pears","thevirtualcoop.product_public_category_crop_input_acaricide,thevirtualcoop.product_public_category_crop_input_insecticide","agri.pest_disease_codling_moth,agri.pest_disease_mites_panonychus_ulmi,agri.pest_disease_mites_european_red_mite_panonychus_ulmi,agri.pest_disease_mites_red_spider_mite,agri.pest_disease_telletia_indica_telletia_indica,agri.pest_disease_tylenchulus_semipenetrans_tylenchulus_semipenetrans,agri.pest_disease_tetranychus_urticae_cinnabarinus_tetranychus_urticae_cinnabarinus,agri.pest_disease_tylenchulus_semipenetrans_tylenchulus_semipenetrans,agri.pest_disease_tetranychus_urticae_cinnabarinus_tetranychus_urticae_cinnabarinus,agri.pest_disease_codling_moth,agri.pest_disease_mites_panonychus_ulmi,agri.pest_disease_mites_european_red_mite_panonychus_ulmi,agri.pest_disease_mites_red_spider_mite,agri.pest_disease_telletia_indica_telletia_indica,agri.pest_disease_mites_panonychus_ulmi,agri.pest_disease_codling_moth,agri.pest_disease_mites_european_red_mite_panonychus_ulmi,agri.pest_disease_mites_red_spider_mite,agri.pest_disease_telletia_indica_telletia_indica,agri.pest_disease_tylenchulus_semipenetrans_tylenchulus_semipenetrans,agri.pest_disease_tetranychus_urticae_cinnabarinus_tetranychus_urticae_cinnabarinus,agri.pest_disease_codling_moth,agri.pest_disease_mites_panonychus_ulmi,agri.pest_disease_mites_european_red_mite_panonychus_ulmi,agri.pest_disease_mites_red_spider_mite,agri.pest_disease_telletia_indica_telletia_indica,agri.pest_disease_tylenchulus_semipenetrans_tylenchulus_semipenetrans,agri.pest_disease_tetranychus_urticae_cinnabarinus_tetranychus_urticae_cinnabarinus",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_flumetsulam,Meridian Torpedo SC,L7655,Meridian Agrochemical Company (Pty) Ltd,product,Meridian Agrochemical Company (Pty) Ltd,agri.product_category_crop_input_herbicide,"","agri.product_category_crop_beans_dry_beans,agri.product_category_crop_beans_dry_beans,agri.product_category_crop_beans_dry_beans,agri.product_category_crop_soya_beans,agri.product_category_crop_soya_beans,agri.product_category_crop_medicagos,agri.product_category_crop_soya_beans,agri.product_category_crop_medicagos,agri.product_category_crop_medicagos,agri.product_category_crop_maize,agri.product_category_crop_maize,agri.product_category_crop_maize,agri.product_category_grazing_lucerne,agri.product_category_grazing_lucerne,agri.product_category_grazing_lucerne,agri.product_category_crop_groundnuts,agri.product_category_crop_groundnuts,agri.product_category_crop_groundnuts,agri.product_category_grazing_clover,agri.product_category_grazing_clover,agri.product_category_grazing_clover,agri.product_category_crop_beans_green_beans,agri.product_category_crop_beans_green_beans,agri.product_category_crop_beans_green_beans",thevirtualcoop.product_public_category_crop_input_herbicide,"agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_flumetsulam,Villa Flumetsulam 800 WDG,L8062,Universal Crop Protection (Pty) Ltd,product,Villa Crop Protection (Pty) Ltd,agri.product_category_crop_input_herbicide,"","agri.product_category_crop_maize,agri.product_category_crop_groundnuts,agri.product_category_crop_groundnuts,agri.product_category_crop_groundnuts,agri.product_category_crop_maize,agri.product_category_crop_maize",thevirtualcoop.product_public_category_crop_input_herbicide,"agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_grass_weeds",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_flumetsulam__mesotrione__sulcotrione,Meridian Ketonic,L10536,Meridian Agrochemical Company (Pty) Ltd,product,Meridian Agrochemical Company (Pty) Ltd,agri.product_category_crop_input_herbicide,"","agri.product_category_crop_maize,agri.product_category_crop_maize,agri.product_category_crop_maize",thevirtualcoop.product_public_category_crop_input_herbicide,"agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_grass_weeds",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
agri.active_ingredient_flumetsulam__sulcotrione,Meridian Cyclone Elite,L8881,Meridian Agrochemical Company (Pty) Ltd,product,Meridian Agrochemical Company (Pty) Ltd,agri.product_category_crop_input_herbicide,"","agri.product_category_crop_maize,agri.product_category_crop_maize,agri.product_category_crop_sweetcorn,agri.product_category_crop_maize,agri.product_category_crop_sweetcorn,agri.product_category_crop_sweetcorn",thevirtualcoop.product_public_category_crop_input_herbicide,"agri.pest_disease_weeds_broadleaf_weeds,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_sedges,agri.pest_disease_weeds_grass_weeds,agri.pest_disease_weeds_broadleaf_weeds",uom.product_uom_litre,uom.product_uom_litre,True,True,False,True,True,approved
